gene:Et_10A_000251 gene:Et_10A_000994
gene:Et_10B_003844 gene:Et_10B_003845
gene:Et_10B_003863 gene:Et_10B_003864
gene:Et_10B_003864 gene:Et_10B_003859
gene:Et_10B_003859 gene:Et_10B_003865
gene:Et_10B_003859 gene:Et_10B_003876
gene:Et_10B_003865 gene:Et_10B_003876
gene:Et_10B_003877 gene:Et_10B_004435
gene:Et_10B_004437 gene:Et_10B_003879
gene:Et_10B_003879 gene:Et_10B_003884
gene:Et_10B_003884 gene:Et_10B_004439
gene:Et_10B_003884 gene:Et_10B_004440
gene:Et_10B_004439 gene:Et_10B_003885
gene:Et_10B_004440 gene:Et_10B_003885
gene:Et_10B_004440 gene:Et_10B_003887
gene:Et_10B_003885 gene:Et_10B_003887
gene:Et_10B_004441 gene:Et_10B_003888
gene:Et_10B_004441 gene:Et_10B_003889
gene:Et_10B_003888 gene:Et_10B_003889
gene:Et_10B_003888 gene:Et_10B_004442
gene:Et_10B_003889 gene:Et_10B_004442
gene:Et_10B_003889 gene:Et_10B_004443
gene:Et_10B_004442 gene:Et_10B_004443
gene:Et_10B_003905 gene:Et_10B_003898
gene:Et_10B_004444 gene:Et_10B_003899
gene:Et_10B_003899 gene:Et_10B_003900
gene:Et_10B_003908 gene:Et_10B_004446
gene:Et_10B_003909 gene:Et_10B_004446
gene:Et_10B_003909 gene:Et_10B_003910
gene:Et_10B_004446 gene:Et_10B_003910
gene:Et_10B_003926 gene:Et_10B_003927
gene:Et_10B_003926 gene:Et_10B_003931
gene:Et_10B_003927 gene:Et_10B_003931
gene:Et_10B_004458 gene:Et_10B_004459
gene:Et_10B_003951 gene:Et_10B_004468
gene:Et_10B_004465 gene:Et_10B_003956
gene:Et_10B_004471 gene:Et_10B_002460
gene:Et_10B_004472 gene:Et_10B_002460
gene:Et_10B_003974 gene:Et_10B_004477
gene:Et_10B_004477 gene:Et_10B_004478
gene:Et_10B_004477 gene:Et_10B_003975
gene:Et_10B_004478 gene:Et_10B_003975
gene:Et_10B_004478 gene:Et_10B_003976
gene:Et_10B_003975 gene:Et_10B_003976
gene:Et_10B_003981 gene:Et_10B_003980
gene:Et_10B_003983 gene:Et_10B_002701
gene:Et_10B_003998 gene:Et_10B_003997
gene:Et_10B_003997 gene:Et_10B_003999
gene:Et_10B_003997 gene:Et_10B_003996
gene:Et_10B_003999 gene:Et_10B_003996
gene:Et_10B_004004 gene:Et_10B_004006
gene:Et_10B_004006 gene:Et_10B_004007
gene:Et_10B_004015 gene:Et_10B_004016
gene:Et_10B_004011 gene:Et_10B_004017
gene:Et_10B_002467 gene:Et_10B_002468
gene:Et_10B_004017 gene:Et_10B_004018
gene:Et_10B_004018 gene:Et_10B_004019
gene:Et_10B_004045 gene:Et_10B_004048
gene:Et_10B_004050 gene:Et_10B_004052
gene:Et_10B_004050 gene:Et_10B_004051
gene:Et_10B_004052 gene:Et_10B_004051
gene:Et_10B_002730 gene:Et_10B_004070
gene:Et_10B_002735 gene:Et_10B_002475
gene:Et_10B_002737 gene:Et_10B_002741
gene:Et_10B_002743 gene:Et_10B_002740
gene:Et_10B_002741 gene:Et_10B_004071
gene:Et_10B_004071 gene:Et_10B_002746
gene:Et_10B_002746 gene:Et_10B_002747
gene:Et_10B_002752 gene:Et_10B_002756
gene:Et_10B_002753 gene:Et_10B_002754
gene:Et_10B_002781 gene:Et_10B_002792
gene:Et_10B_004078 gene:Et_10B_002792
gene:Et_10B_002783 gene:Et_10B_002786
gene:Et_10B_002792 gene:Et_10B_002790
gene:Et_10B_002786 gene:Et_10B_002785
gene:Et_10B_002785 gene:Et_10B_002784
gene:Et_10B_002790 gene:Et_10B_002794
gene:Et_10B_002794 gene:Et_10B_002491
gene:Et_10B_002799 gene:Et_10B_002801
gene:Et_10B_002808 gene:Et_10B_002809
gene:Et_10B_002814 gene:Et_10B_002498
gene:Et_10B_002814 gene:Et_10B_004084
gene:Et_10B_002498 gene:Et_10B_004084
gene:Et_10B_002498 gene:Et_10B_002826
gene:Et_10B_004084 gene:Et_10B_002826
gene:Et_10B_004084 gene:Et_10B_004094
gene:Et_10B_002826 gene:Et_10B_004094
gene:Et_10B_002828 gene:Et_10B_002831
gene:Et_10B_002511 gene:Et_10B_002512
gene:Et_10B_002513 gene:Et_10B_002514
gene:Et_10B_002510 gene:Et_10B_002861
gene:Et_10B_002865 gene:Et_10B_004099
gene:Et_10B_004100 gene:Et_10B_004101
gene:Et_10B_002891 gene:Et_10B_004106
gene:Et_10B_002892 gene:Et_10B_002895
gene:Et_10B_002885 gene:Et_10B_002886
gene:Et_10B_002903 gene:Et_10B_002902
gene:Et_10B_002530 gene:Et_10B_004115
gene:Et_10B_002907 gene:Et_10B_002908
gene:Et_10B_002907 gene:Et_10B_004117
gene:Et_10B_002908 gene:Et_10B_004117
gene:Et_10B_004119 gene:Et_10B_002911
gene:Et_10B_002920 gene:Et_10B_004120
gene:Et_10B_002914 gene:Et_10B_002917
gene:Et_10B_002918 gene:Et_10B_002917
gene:Et_10B_004120 gene:Et_10B_002917
gene:Et_10B_002917 gene:Et_10B_002916
gene:Et_10B_002917 gene:Et_10B_002921
gene:Et_10B_002916 gene:Et_10B_002919
gene:Et_10B_002921 gene:Et_10B_002922
gene:Et_10B_002535 gene:Et_10B_002930
gene:Et_10B_002930 gene:Et_10B_002931
gene:Et_10B_002930 gene:Et_10B_002536
gene:Et_10B_002931 gene:Et_10B_002536
gene:Et_10B_002369 gene:Et_10B_002371
gene:Et_10B_002951 gene:Et_10B_004125
gene:Et_10B_002950 gene:Et_10B_002956
gene:Et_10B_002952 gene:Et_10B_002956
gene:Et_10B_004124 gene:Et_10B_004126
gene:Et_10B_002956 gene:Et_10B_002954
gene:Et_10B_002954 gene:Et_10B_002957
gene:Et_10B_002969 gene:Et_10B_002970
gene:Et_10B_002969 gene:Et_10B_002971
gene:Et_10B_002970 gene:Et_10B_002971
gene:Et_10B_002994 gene:Et_10B_002987
gene:Et_10B_002991 gene:Et_10B_002999
gene:Et_10B_003001 gene:Et_10B_003002
gene:Et_10B_003002 gene:Et_10B_004137
gene:Et_10B_004136 gene:Et_10B_004139
gene:Et_10B_003008 gene:Et_10B_004140
gene:Et_10B_002376 gene:Et_10B_004140
gene:Et_10B_003018 gene:Et_10B_003019
gene:Et_10B_003018 gene:Et_10B_003024
gene:Et_10B_003019 gene:Et_10B_003024
gene:Et_10B_003021 gene:Et_10B_003026
gene:Et_10B_003024 gene:Et_10B_003025
gene:Et_10B_002379 gene:Et_10B_003038
gene:Et_10B_003038 gene:Et_10B_003039
gene:Et_10B_004150 gene:Et_10B_003042
gene:Et_10B_003061 gene:Et_10B_003062
gene:Et_10B_003073 gene:Et_10B_003070
gene:Et_10B_003073 gene:Et_10B_003076
gene:Et_10B_003070 gene:Et_10B_003076
gene:Et_10B_003076 gene:Et_10B_003077
gene:Et_10B_004156 gene:Et_10B_003081
gene:Et_10B_003082 gene:Et_10B_003081
gene:Et_10B_003082 gene:Et_10B_003086
gene:Et_10B_003081 gene:Et_10B_003086
gene:Et_10B_003089 gene:Et_10B_004157
gene:Et_10B_003089 gene:Et_10B_003093
gene:Et_10B_004157 gene:Et_10B_003093
gene:Et_10B_004157 gene:Et_10B_002572
gene:Et_10B_003093 gene:Et_10B_002572
gene:Et_10B_003098 gene:Et_10B_003099
gene:Et_10B_003103 gene:Et_10B_003104
gene:Et_10B_003100 gene:Et_10B_003105
gene:Et_10B_002387 gene:Et_10B_004158
gene:Et_10B_003106 gene:Et_10B_003107
gene:Et_10B_003109 gene:Et_10B_003111
gene:Et_10B_003109 gene:Et_10B_003114
gene:Et_10B_003111 gene:Et_10B_003114
gene:Et_10B_002578 gene:Et_10B_003120
gene:Et_10B_003122 gene:Et_10B_002391
gene:Et_10B_003145 gene:Et_10B_003148
gene:Et_10B_003158 gene:Et_10B_003152
gene:Et_10B_003166 gene:Et_10B_003167
gene:Et_10B_003182 gene:Et_10B_002588
gene:Et_10B_002586 gene:Et_10B_004170
gene:Et_10B_003179 gene:Et_10B_003178
gene:Et_10B_003184 gene:Et_10B_002397
gene:Et_10B_002397 gene:Et_10B_003190
gene:Et_10B_002595 gene:Et_10B_002398
gene:Et_10B_004177 gene:Et_10B_003203
gene:Et_10B_004179 gene:Et_10B_004180
gene:Et_10B_004183 gene:Et_10B_004185
gene:Et_10B_002403 gene:Et_10B_003219
gene:Et_10B_004185 gene:Et_10B_003220
gene:Et_10B_003244 gene:Et_10B_003243
gene:Et_10B_003253 gene:Et_10B_003254
gene:Et_10B_002408 gene:Et_10B_002409
gene:Et_10B_003276 gene:Et_10B_003275
gene:Et_10B_003284 gene:Et_10B_003279
gene:Et_10B_003282 gene:Et_10B_003279
gene:Et_10B_003283 gene:Et_10B_003279
gene:Et_10B_004197 gene:Et_10B_003289
gene:Et_10B_003287 gene:Et_10B_003288
gene:Et_10B_004199 gene:Et_10B_004200
gene:Et_10B_003312 gene:Et_10B_003313
gene:Et_10B_003307 gene:Et_10B_002624
gene:Et_10B_004206 gene:Et_10B_004207
gene:Et_10B_003318 gene:Et_10B_003319
gene:Et_10B_003318 gene:Et_10B_003320
gene:Et_10B_003319 gene:Et_10B_003320
gene:Et_10B_003388 gene:Et_10B_004213
gene:Et_10B_003393 gene:Et_10B_004216
gene:Et_10B_003397 gene:Et_10B_003399
gene:Et_10B_003409 gene:Et_10B_003411
gene:Et_10B_003417 gene:Et_10B_003418
gene:Et_10B_003430 gene:Et_10B_003436
gene:Et_10B_003436 gene:Et_10B_004225
gene:Et_10B_004226 gene:Et_10B_004227
gene:Et_10B_003432 gene:Et_10B_003433
gene:Et_1A_008183 gene:Et_1A_009413
gene:Et_1A_008587 gene:Et_1A_008588
gene:Et_1A_005390 gene:Et_1A_005391
gene:Et_1A_005391 gene:Et_1A_005392
gene:Et_1A_008790 gene:Et_1A_008791
gene:Et_1A_008790 gene:Et_1A_005703
gene:Et_1A_005703 gene:Et_1A_005704
gene:Et_1A_008826 gene:Et_1A_005867
gene:Et_1A_008850 gene:Et_1A_005961
gene:Et_1A_005961 gene:Et_1A_008852
gene:Et_1A_006195 gene:Et_1A_006192
gene:Et_1A_008942 gene:Et_1A_008944
gene:Et_1A_008943 gene:Et_1A_008944
gene:Et_1A_006342 gene:Et_1A_006343
gene:Et_1A_008965 gene:Et_1A_008975
gene:Et_1A_008965 gene:Et_1A_006472
gene:Et_1A_008975 gene:Et_1A_006472
gene:Et_1A_008975 gene:Et_1A_008976
gene:Et_1A_006472 gene:Et_1A_008976
gene:Et_1A_006833 gene:Et_1A_006834
gene:Et_1A_005121 gene:Et_1A_006828
gene:Et_1A_009097 gene:Et_1A_009098
gene:Et_1A_009182 gene:Et_1A_009180
gene:Et_1A_009182 gene:Et_1A_007271
gene:Et_1A_009180 gene:Et_1A_007271
gene:Et_1A_007271 gene:Et_1A_009197
gene:Et_1A_007279 gene:Et_1A_007273
gene:Et_1A_009243 gene:Et_1A_007567
gene:Et_1A_007480 gene:Et_1A_007567
gene:Et_1A_007567 gene:Et_1A_007566
gene:Et_1A_007568 gene:Et_1A_007569
gene:Et_1A_008083 gene:Et_1A_008084
gene:Et_1A_008094 gene:Et_1A_008095
gene:Et_1A_008095 gene:Et_1A_008096
gene:Et_1A_008095 gene:Et_1A_008097
gene:Et_1A_008096 gene:Et_1A_008097
gene:Et_1A_008097 gene:Et_1A_008099
gene:Et_1A_008097 gene:Et_1A_008098
gene:Et_1A_008099 gene:Et_1A_008098
gene:Et_1A_008098 gene:Et_1A_009375
gene:Et_1A_008121 gene:Et_1A_008132
gene:Et_1A_008140 gene:Et_1A_009396
gene:Et_1A_008158 gene:Et_1A_009403
gene:Et_1A_009403 gene:Et_1A_008159
gene:Et_1A_009400 gene:Et_1A_009401
gene:Et_1A_008161 gene:Et_1A_009404
gene:Et_1A_009404 gene:Et_1A_009405
gene:Et_1A_009404 gene:Et_1A_008166
gene:Et_1A_009405 gene:Et_1A_008166
gene:Et_1A_009405 gene:Et_1A_008163
gene:Et_1A_008166 gene:Et_1A_008163
gene:Et_1A_008261 gene:Et_1A_004793
gene:Et_1A_008317 gene:Et_1A_009476
gene:Et_1A_008315 gene:Et_1A_009477
gene:Et_1A_008336 gene:Et_1A_009495
gene:Et_1A_009505 gene:Et_1A_008357
gene:Et_1A_009522 gene:Et_1A_009523
gene:Et_1A_008393 gene:Et_1A_008394
gene:Et_1A_008418 gene:Et_1A_008426
gene:Et_1A_009538 gene:Et_1A_008431
gene:Et_1A_009543 gene:Et_1A_009539
gene:Et_1A_009571 gene:Et_1A_008525
gene:Et_1A_008529 gene:Et_1A_008530
gene:Et_1A_008540 gene:Et_1A_008541
gene:Et_1A_009585 gene:Et_1A_008547
gene:Et_1A_009589 gene:Et_1A_008549
gene:Et_1A_009596 gene:Et_1A_008568
gene:Et_1A_008567 gene:Et_1A_008568
gene:Et_1A_009602 gene:Et_1A_008600
gene:Et_1A_009601 gene:Et_1A_008594
gene:Et_1A_008656 gene:Et_1A_009610
gene:Et_1A_008666 gene:Et_1A_009622
gene:Et_1A_005430 gene:Et_1A_004820
gene:Et_1A_005443 gene:Et_1A_005444
gene:Et_1A_005456 gene:Et_1A_005457
gene:Et_1A_005468 gene:Et_1A_008720
gene:Et_1A_005472 gene:Et_1A_005482
gene:Et_1A_005490 gene:Et_1A_008726
gene:Et_1A_005557 gene:Et_1A_005559
gene:Et_1A_005559 gene:Et_1A_005556
gene:Et_1A_005560 gene:Et_1A_005556
gene:Et_1A_005556 gene:Et_1A_005555
gene:Et_1A_008742 gene:Et_1A_005555
gene:Et_1A_008743 gene:Et_1A_005555
gene:Et_1A_008744 gene:Et_1A_005555
gene:Et_1A_008744 gene:Et_1A_005553
gene:Et_1A_005555 gene:Et_1A_005553
gene:Et_1A_005578 gene:Et_1A_005579
gene:Et_1A_005599 gene:Et_1A_005600
gene:Et_1A_005594 gene:Et_1A_005596
gene:Et_1A_005601 gene:Et_1A_005602
gene:Et_1A_005603 gene:Et_1A_005602
gene:Et_1A_005603 gene:Et_1A_005620
gene:Et_1A_005602 gene:Et_1A_005620
gene:Et_1A_005618 gene:Et_1A_005627
gene:Et_1A_005648 gene:Et_1A_005645
gene:Et_1A_005659 gene:Et_1A_005661
gene:Et_1A_005660 gene:Et_1A_005666
gene:Et_1A_008776 gene:Et_1A_005666
gene:Et_1A_005661 gene:Et_1A_005662
gene:Et_1A_004521 gene:Et_1A_004860
gene:Et_1A_008783 gene:Et_1A_008785
gene:Et_1A_005686 gene:Et_1A_008784
gene:Et_1A_005714 gene:Et_1A_004530
gene:Et_1A_005714 gene:Et_1A_004529
gene:Et_1A_004530 gene:Et_1A_005720
gene:Et_1A_004529 gene:Et_1A_005720
gene:Et_1A_005729 gene:Et_1A_005730
gene:Et_1A_005731 gene:Et_1A_005726
gene:Et_1A_005734 gene:Et_1A_008795
gene:Et_1A_005734 gene:Et_1A_005736
gene:Et_1A_008795 gene:Et_1A_005736
gene:Et_1A_008795 gene:Et_1A_005735
gene:Et_1A_005736 gene:Et_1A_005735
gene:Et_1A_005739 gene:Et_1A_005737
gene:Et_1A_005739 gene:Et_1A_005740
gene:Et_1A_005737 gene:Et_1A_005740
gene:Et_1A_005744 gene:Et_1A_005745
gene:Et_1A_004877 gene:Et_1A_005758
gene:Et_1A_008802 gene:Et_1A_005778
gene:Et_1A_008808 gene:Et_1A_004884
gene:Et_1A_005807 gene:Et_1A_005808
gene:Et_1A_005815 gene:Et_1A_005809
gene:Et_1A_005817 gene:Et_1A_005809
gene:Et_1A_008811 gene:Et_1A_008812
gene:Et_1A_005827 gene:Et_1A_005828
gene:Et_1A_005827 gene:Et_1A_005825
gene:Et_1A_005828 gene:Et_1A_005825
gene:Et_1A_004542 gene:Et_1A_008814
gene:Et_1A_008814 gene:Et_1A_005834
gene:Et_1A_005855 gene:Et_1A_005856
gene:Et_1A_005855 gene:Et_1A_005857
gene:Et_1A_004545 gene:Et_1A_005862
gene:Et_1A_008821 gene:Et_1A_008822
gene:Et_1A_005858 gene:Et_1A_004543
gene:Et_1A_005865 gene:Et_1A_005866
gene:Et_1A_004898 gene:Et_1A_004900
gene:Et_1A_008823 gene:Et_1A_008825
gene:Et_1A_008824 gene:Et_1A_008825
gene:Et_1A_005890 gene:Et_1A_008834
gene:Et_1A_005901 gene:Et_1A_008835
gene:Et_1A_005901 gene:Et_1A_005900
gene:Et_1A_008835 gene:Et_1A_005900
gene:Et_1A_005903 gene:Et_1A_005904
gene:Et_1A_005936 gene:Et_1A_008844
gene:Et_1A_008854 gene:Et_1A_008853
gene:Et_1A_008856 gene:Et_1A_005973
gene:Et_1A_008857 gene:Et_1A_005973
gene:Et_1A_005972 gene:Et_1A_008859
gene:Et_1A_005972 gene:Et_1A_008858
gene:Et_1A_008859 gene:Et_1A_008858
gene:Et_1A_008860 gene:Et_1A_005981
gene:Et_1A_004914 gene:Et_1A_005981
gene:Et_1A_005983 gene:Et_1A_005985
gene:Et_1A_005996 gene:Et_1A_008863
gene:Et_1A_005996 gene:Et_1A_005995
gene:Et_1A_008863 gene:Et_1A_005995
gene:Et_1A_008864 gene:Et_1A_005995
gene:Et_1A_006007 gene:Et_1A_006011
gene:Et_1A_008880 gene:Et_1A_004559
gene:Et_1A_008885 gene:Et_1A_006054
gene:Et_1A_008885 gene:Et_1A_008881
gene:Et_1A_006054 gene:Et_1A_006053
gene:Et_1A_008881 gene:Et_1A_006053
gene:Et_1A_008883 gene:Et_1A_006056
gene:Et_1A_008886 gene:Et_1A_008887
gene:Et_1A_006071 gene:Et_1A_004930
gene:Et_1A_008888 gene:Et_1A_006072
gene:Et_1A_008888 gene:Et_1A_006074
gene:Et_1A_006072 gene:Et_1A_006074
gene:Et_1A_006074 gene:Et_1A_006075
gene:Et_1A_006098 gene:Et_1A_008894
gene:Et_1A_008894 gene:Et_1A_006099
gene:Et_1A_008895 gene:Et_1A_008896
gene:Et_1A_006103 gene:Et_1A_006104
gene:Et_1A_006108 gene:Et_1A_008899
gene:Et_1A_006108 gene:Et_1A_008900
gene:Et_1A_008900 gene:Et_1A_008901
gene:Et_1A_006120 gene:Et_1A_006121
gene:Et_1A_006120 gene:Et_1A_006125
gene:Et_1A_006121 gene:Et_1A_006125
gene:Et_1A_006121 gene:Et_1A_006126
gene:Et_1A_006125 gene:Et_1A_006126
gene:Et_1A_006126 gene:Et_1A_006127
gene:Et_1A_006131 gene:Et_1A_008911
gene:Et_1A_008911 gene:Et_1A_008913
gene:Et_1A_006177 gene:Et_1A_008915
gene:Et_1A_006184 gene:Et_1A_006182
gene:Et_1A_004573 gene:Et_1A_008921
gene:Et_1A_006206 gene:Et_1A_006207
gene:Et_1A_006211 gene:Et_1A_006212
gene:Et_1A_006210 gene:Et_1A_006215
gene:Et_1A_008925 gene:Et_1A_006231
gene:Et_1A_008926 gene:Et_1A_006254
gene:Et_1A_006260 gene:Et_1A_008930
gene:Et_1A_006260 gene:Et_1A_008935
gene:Et_1A_008930 gene:Et_1A_008935
gene:Et_1A_006300 gene:Et_1A_006301
gene:Et_1A_006306 gene:Et_1A_006307
gene:Et_1A_006319 gene:Et_1A_006315
gene:Et_1A_006320 gene:Et_1A_006315
gene:Et_1A_006321 gene:Et_1A_006315
gene:Et_1A_006323 gene:Et_1A_006318
gene:Et_1A_006332 gene:Et_1A_006335
gene:Et_1A_006357 gene:Et_1A_006358
gene:Et_1A_006359 gene:Et_1A_006360
gene:Et_1A_008959 gene:Et_1A_004588
gene:Et_1A_006380 gene:Et_1A_006378
gene:Et_1A_006376 gene:Et_1A_006378
gene:Et_1A_006376 gene:Et_1A_006379
gene:Et_1A_006378 gene:Et_1A_006379
gene:Et_1A_006378 gene:Et_1A_006377
gene:Et_1A_006379 gene:Et_1A_006377
gene:Et_1A_006377 gene:Et_1A_004989
gene:Et_1A_006377 gene:Et_1A_004990
gene:Et_1A_004989 gene:Et_1A_004990
gene:Et_1A_008962 gene:Et_1A_008963
gene:Et_1A_008962 gene:Et_1A_006392
gene:Et_1A_008963 gene:Et_1A_006392
gene:Et_1A_006465 gene:Et_1A_006466
gene:Et_1A_006483 gene:Et_1A_006484
gene:Et_1A_004618 gene:Et_1A_004617
gene:Et_1A_006494 gene:Et_1A_006495
gene:Et_1A_008982 gene:Et_1A_008983
gene:Et_1A_008982 gene:Et_1A_006501
gene:Et_1A_008983 gene:Et_1A_006501
gene:Et_1A_006501 gene:Et_1A_006502
gene:Et_1A_006500 gene:Et_1A_006511
gene:Et_1A_008987 gene:Et_1A_008988
gene:Et_1A_008987 gene:Et_1A_006505
gene:Et_1A_008988 gene:Et_1A_006505
gene:Et_1A_006507 gene:Et_1A_006508
gene:Et_1A_006507 gene:Et_1A_006510
gene:Et_1A_006508 gene:Et_1A_006510
gene:Et_1A_006510 gene:Et_1A_008985
gene:Et_1A_006522 gene:Et_1A_006523
gene:Et_1A_004624 gene:Et_1A_006524
gene:Et_1A_005052 gene:Et_1A_006524
gene:Et_1A_006525 gene:Et_1A_006526
gene:Et_1A_006525 gene:Et_1A_006527
gene:Et_1A_006537 gene:Et_1A_006538
gene:Et_1A_006537 gene:Et_1A_006539
gene:Et_1A_006538 gene:Et_1A_006539
gene:Et_1A_006538 gene:Et_1A_004630
gene:Et_1A_006539 gene:Et_1A_004630
gene:Et_1A_004630 gene:Et_1A_004632
gene:Et_1A_008994 gene:Et_1A_004634
gene:Et_1A_006546 gene:Et_1A_006549
gene:Et_1A_006546 gene:Et_1A_006550
gene:Et_1A_004636 gene:Et_1A_004637
gene:Et_1A_008997 gene:Et_1A_006555
gene:Et_1A_006557 gene:Et_1A_006558
gene:Et_1A_006556 gene:Et_1A_006559
gene:Et_1A_006559 gene:Et_1A_006562
gene:Et_1A_006562 gene:Et_1A_006563
gene:Et_1A_006570 gene:Et_1A_006571
gene:Et_1A_006570 gene:Et_1A_006572
gene:Et_1A_006571 gene:Et_1A_006572
gene:Et_1A_006567 gene:Et_1A_006573
gene:Et_1A_006581 gene:Et_1A_006582
gene:Et_1A_006582 gene:Et_1A_006585
gene:Et_1A_006583 gene:Et_1A_006585
gene:Et_1A_006585 gene:Et_1A_009002
gene:Et_1A_009009 gene:Et_1A_009008
gene:Et_1A_006602 gene:Et_1A_006603
gene:Et_1A_009013 gene:Et_1A_006619
gene:Et_1A_006638 gene:Et_1A_004644
gene:Et_1A_006638 gene:Et_1A_005078
gene:Et_1A_004644 gene:Et_1A_005078
gene:Et_1A_009032 gene:Et_1A_009030
gene:Et_1A_006695 gene:Et_1A_006690
gene:Et_1A_006695 gene:Et_1A_006697
gene:Et_1A_006690 gene:Et_1A_006697
gene:Et_1A_006697 gene:Et_1A_006691
gene:Et_1A_006708 gene:Et_1A_006709
gene:Et_1A_009043 gene:Et_1A_009044
gene:Et_1A_006730 gene:Et_1A_006731
gene:Et_1A_006749 gene:Et_1A_005100
gene:Et_1A_006758 gene:Et_1A_006759
gene:Et_1A_006758 gene:Et_1A_006760
gene:Et_1A_006759 gene:Et_1A_006760
gene:Et_1A_006759 gene:Et_1A_006761
gene:Et_1A_006760 gene:Et_1A_006761
gene:Et_1A_006765 gene:Et_1A_006767
gene:Et_1A_006780 gene:Et_1A_006777
gene:Et_1A_006816 gene:Et_1A_009063
gene:Et_1A_006818 gene:Et_1A_006819
gene:Et_1A_006820 gene:Et_1A_006821
gene:Et_1A_005118 gene:Et_1A_006838
gene:Et_1A_005124 gene:Et_1A_009069
gene:Et_1A_009069 gene:Et_1A_009070
gene:Et_1A_009069 gene:Et_1A_006843
gene:Et_1A_009070 gene:Et_1A_006843
gene:Et_1A_006866 gene:Et_1A_006867
gene:Et_1A_006882 gene:Et_1A_006883
gene:Et_1A_006882 gene:Et_1A_006884
gene:Et_1A_006883 gene:Et_1A_006884
gene:Et_1A_006884 gene:Et_1A_009084
gene:Et_1A_009084 gene:Et_1A_006880
gene:Et_1A_006880 gene:Et_1A_006881
gene:Et_1A_006885 gene:Et_1A_006886
gene:Et_1A_006897 gene:Et_1A_009090
gene:Et_1A_009092 gene:Et_1A_006903
gene:Et_1A_009101 gene:Et_1A_009102
gene:Et_1A_009105 gene:Et_1A_006950
gene:Et_1A_006962 gene:Et_1A_006965
gene:Et_1A_006963 gene:Et_1A_006965
gene:Et_1A_006984 gene:Et_1A_006985
gene:Et_1A_006984 gene:Et_1A_006986
gene:Et_1A_009113 gene:Et_1A_004673
gene:Et_1A_004679 gene:Et_1A_007034
gene:Et_1A_007044 gene:Et_1A_007042
gene:Et_1A_007044 gene:Et_1A_007041
gene:Et_1A_007042 gene:Et_1A_007041
gene:Et_1A_007042 gene:Et_1A_007045
gene:Et_1A_007041 gene:Et_1A_007045
gene:Et_1A_007050 gene:Et_1A_004682
gene:Et_1A_007052 gene:Et_1A_009136
gene:Et_1A_007051 gene:Et_1A_004683
gene:Et_1A_007064 gene:Et_1A_007066
gene:Et_1A_007069 gene:Et_1A_004687
gene:Et_1A_007076 gene:Et_1A_009137
gene:Et_1A_007085 gene:Et_1A_007086
gene:Et_1A_005171 gene:Et_1A_009139
gene:Et_1A_009142 gene:Et_1A_007089
gene:Et_1A_007094 gene:Et_1A_009143
gene:Et_1A_007094 gene:Et_1A_007090
gene:Et_1A_009143 gene:Et_1A_007090
gene:Et_1A_007124 gene:Et_1A_007126
gene:Et_1A_005183 gene:Et_1A_007130
gene:Et_1A_007135 gene:Et_1A_007131
gene:Et_1A_007135 gene:Et_1A_007130
gene:Et_1A_007131 gene:Et_1A_007130
gene:Et_1A_007138 gene:Et_1A_007140
gene:Et_1A_009157 gene:Et_1A_009158
gene:Et_1A_009161 gene:Et_1A_009162
gene:Et_1A_009161 gene:Et_1A_007150
gene:Et_1A_009162 gene:Et_1A_007150
gene:Et_1A_009162 gene:Et_1A_007149
gene:Et_1A_007150 gene:Et_1A_007149
gene:Et_1A_009163 gene:Et_1A_009165
gene:Et_1A_009164 gene:Et_1A_009165
gene:Et_1A_009164 gene:Et_1A_009166
gene:Et_1A_009165 gene:Et_1A_009166
gene:Et_1A_009167 gene:Et_1A_007160
gene:Et_1A_009167 gene:Et_1A_007158
gene:Et_1A_007160 gene:Et_1A_007159
gene:Et_1A_007160 gene:Et_1A_007158
gene:Et_1A_005190 gene:Et_1A_007163
gene:Et_1A_007167 gene:Et_1A_005193
gene:Et_1A_007180 gene:Et_1A_009171
gene:Et_1A_007180 gene:Et_1A_007182
gene:Et_1A_009171 gene:Et_1A_007182
gene:Et_1A_007185 gene:Et_1A_007186
gene:Et_1A_009173 gene:Et_1A_004699
gene:Et_1A_004699 gene:Et_1A_009174
gene:Et_1A_009174 gene:Et_1A_007195
gene:Et_1A_009174 gene:Et_1A_009177
gene:Et_1A_007195 gene:Et_1A_009177
gene:Et_1A_007195 gene:Et_1A_005197
gene:Et_1A_009176 gene:Et_1A_007191
gene:Et_1A_007192 gene:Et_1A_007193
gene:Et_1A_007204 gene:Et_1A_007206
gene:Et_1A_007204 gene:Et_1A_007207
gene:Et_1A_007206 gene:Et_1A_007207
gene:Et_1A_007206 gene:Et_1A_007209
gene:Et_1A_007207 gene:Et_1A_007210
gene:Et_1A_007209 gene:Et_1A_007211
gene:Et_1A_007210 gene:Et_1A_007211
gene:Et_1A_007210 gene:Et_1A_007213
gene:Et_1A_007211 gene:Et_1A_007212
gene:Et_1A_007211 gene:Et_1A_007213
gene:Et_1A_007212 gene:Et_1A_007213
gene:Et_1A_007212 gene:Et_1A_009184
gene:Et_1A_007213 gene:Et_1A_009184
gene:Et_1A_007213 gene:Et_1A_007214
gene:Et_1A_009184 gene:Et_1A_007214
gene:Et_1A_007214 gene:Et_1A_007218
gene:Et_1A_009186 gene:Et_1A_005199
gene:Et_1A_007220 gene:Et_1A_007224
gene:Et_1A_007220 gene:Et_1A_007221
